# CommonSwarm edge memory series (HezLead, read-only), 2026-09-22 21:29Z to 2026-09-23 03:31Z
# Container commonswarm-edge-edge-runtime-1; image public.ecr.aws/supabase/edge-runtime:v1.73.13
# Image digest sha256:cfa86b9ad11f349aa4b930f3ab295d6ad923f2e43c5513c08d79c1f3b990b486
# Edge release 94353b42db4dadf54864f0c8935b3144081e22a9; compose mem_limit 2g (box override)
# Runtime flags: --policy per_worker --max-parallelism 4 --request-read-timeout 60000 --request-wait-timeout 10000 --user-worker-request-idle-timeout 150000 --graceful-exit-timeout 70
# Per-worker limits (deploy/edge-runtime/main/index.ts): memoryLimitMb 96 (USER_WORKER_MEMORY_MB), workerTimeoutMs 150000 (USER_WORKER_TIMEOUT_MS)
# Recycle: commonswarm-edge-recycle.timer docker restart --time 30 at 21:30Z and 03:30Z inside this window
# Function names: the runtime logs only isolate IDs on wall-clock and early-termination lines, so top_function_names = not-in-log
utc_minute,mem_usage_mib,mem_limit_mib,cpu_pct,wallclock_lines,early_termination_lines,distinct_isolates_terminated,container_started_at,restart_count,top_function_names
2026-09-22T21:29Z,0.0,0.0,0.00,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:30Z,192.2,2048.0,0.21,0,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:31Z,278.6,2048.0,0.25,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:32Z,274.5,2048.0,0.67,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:33Z,313.6,2048.0,2.24,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:34Z,367.5,2048.0,1.76,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:35Z,368.8,2048.0,0.20,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:36Z,370.7,2048.0,21.91,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:37Z,364.5,2048.0,0.47,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:38Z,409.4,2048.0,0.78,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:39Z,371.0,2048.0,0.14,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:40Z,415.4,2048.0,0.21,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:41Z,399.7,2048.0,9.65,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:42Z,417.4,2048.0,6.81,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:43Z,414.7,2048.0,4.05,0,0,0,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:44Z,417.5,2048.0,12.90,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:45Z,403.6,2048.0,3.44,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:46Z,426.6,2048.0,3.14,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:47Z,425.5,2048.0,22.71,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:48Z,450.2,2048.0,0.21,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:49Z,488.9,2048.0,0.29,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:50Z,442.7,2048.0,0.18,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:51Z,472.4,2048.0,0.21,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:52Z,461.8,2048.0,0.21,0,0,0,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:53Z,517.1,2048.0,0.21,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:54Z,515.1,2048.0,0.23,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:55Z,468.6,2048.0,0.11,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:56Z,505.6,2048.0,0.43,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:57Z,491.8,2048.0,15.73,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:58Z,511.0,2048.0,0.19,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T21:59Z,496.9,2048.0,5.99,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:00Z,530.8,2048.0,0.77,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:01Z,534.2,2048.0,0.22,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:02Z,533.8,2048.0,0.43,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:03Z,515.5,2048.0,0.21,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:04Z,514.6,2048.0,0.20,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:05Z,536.1,2048.0,2.41,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:06Z,542.3,2048.0,0.21,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:07Z,514.9,2048.0,0.21,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:08Z,555.9,2048.0,0.35,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:09Z,562.9,2048.0,0.27,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:10Z,533.4,2048.0,0.22,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:11Z,543.8,2048.0,0.20,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:12Z,578.4,2048.0,0.20,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:13Z,551.7,2048.0,0.15,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:14Z,586.8,2048.0,0.21,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:15Z,633.1,2048.0,1.22,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:16Z,625.6,2048.0,0.25,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:17Z,606.8,2048.0,0.24,8,8,8,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:18Z,629.1,2048.0,0.25,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:19Z,614.3,2048.0,0.18,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:20Z,629.9,2048.0,18.26,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:21Z,574.6,2048.0,0.17,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:22Z,623.0,2048.0,0.22,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:23Z,653.0,2048.0,0.25,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:24Z,639.0,2048.0,0.17,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:25Z,657.1,2048.0,0.17,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:26Z,650.6,2048.0,0.96,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:27Z,797.8,2048.0,3.60,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:28Z,776.0,2048.0,25.28,0,0,0,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:29Z,693.5,2048.0,0.28,12,12,12,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:30Z,707.1,2048.0,0.23,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:31Z,677.9,2048.0,0.17,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:32Z,699.9,2048.0,1.45,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:33Z,685.3,2048.0,0.19,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:34Z,692.9,2048.0,0.21,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:35Z,693.1,2048.0,0.20,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:36Z,663.4,2048.0,0.15,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:37Z,727.9,2048.0,0.29,1,1,1,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:38Z,744.5,2048.0,0.28,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:39Z,737.2,2048.0,5.11,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:40Z,734.9,2048.0,5.06,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:41Z,711.7,2048.0,0.24,8,8,8,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:42Z,682.5,2048.0,0.17,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:43Z,736.0,2048.0,0.28,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:44Z,700.1,2048.0,0.18,7,7,7,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:45Z,678.8,2048.0,0.14,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:46Z,822.9,2048.0,0.46,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:47Z,732.9,2048.0,0.17,8,8,8,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:48Z,699.1,2048.0,0.17,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:49Z,747.9,2048.0,17.96,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:50Z,736.7,2048.0,2.48,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:51Z,731.6,2048.0,0.35,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:52Z,744.6,2048.0,5.63,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:53Z,739.5,2048.0,2.58,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:54Z,707.0,2048.0,0.16,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:55Z,738.1,2048.0,9.42,3,3,3,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:56Z,740.5,2048.0,0.30,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:57Z,727.8,2048.0,9.86,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:58Z,705.4,2048.0,11.29,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T22:59Z,711.3,2048.0,4.28,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:00Z,705.1,2048.0,0.13,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:01Z,731.8,2048.0,0.21,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:02Z,746.7,2048.0,3.27,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:03Z,742.9,2048.0,0.24,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:04Z,716.1,2048.0,5.06,6,6,6,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:05Z,730.7,2048.0,13.69,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:06Z,752.5,2048.0,15.60,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:07Z,736.1,2048.0,19.50,4,4,4,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:08Z,762.5,2048.0,7.74,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:09Z,755.0,2048.0,4.44,2,2,2,2026-09-22T21:30:02Z,0,not-in-log
2026-09-22T23:10Z,752.6,2048.0,0.21,5,5,5,2026-09-22T21:30:02Z,0,not-in-log
